Model Total accuracy: 0.8966733870967742



Metrics based on each class:

CLASS NAME                    |PRECISION |RECALL    |F1-SCORE  |SUPPORT   |ACCURACY  
ADONIS                        |0.8929    |0.9259    |0.9091    |27        |0.9259    
AFRICAN GIANT SWALLOWTAIL     |0.9545    |0.9130    |0.9333    |23        |0.9130    
AMERICAN SNOOT                |0.9500    |0.8261    |0.8837    |23        |0.8261    
AN 88                         |1.0000    |1.0000    |1.0000    |26        |1.0000    
APPOLLO                       |0.9600    |0.8889    |0.9231    |27        |0.8889    
ATALA                         |0.9677    |1.0000    |0.9836    |30        |1.0000    
BANDED ORANGE HELICONIAN      |1.0000    |0.9667    |0.9831    |30        |0.9667    
BANDED PEACOCK                |0.9130    |0.8400    |0.8750    |25        |0.8400    
BECKERS WHITE                 |0.8400    |0.8400    |0.8400    |25        |0.8400    
BLACK HAIRSTREAK              |0.8462    |0.8462    |0.8462    |26        |0.8462    
BLUE MORPHO                   |0.9500    |0.8261    |0.8837    |23        |0.8261    
BLUE SPOTTED CROW             |0.8800    |0.8462    |0.8627    |26        |0.8462    
BROWN SIPROETA                |0.9667    |0.9667    |0.9667    |30        |0.9667    
CABBAGE WHITE                 |0.9000    |1.0000    |0.9474    |27        |1.0000    
CAIRNS BIRDWING               |0.9583    |0.9200    |0.9388    |25        |0.9200    
CHECQUERED SKIPPER            |0.8235    |0.9655    |0.8889    |29        |0.9655    
CHESTNUT                      |0.9630    |1.0000    |0.9811    |26        |1.0000    
CLEOPATRA                     |0.9643    |0.9643    |0.9643    |28        |0.9643    
CLODIUS PARNASSIAN            |0.9286    |0.9630    |0.9455    |27        |0.9630    
CLOUDED SULPHUR               |0.7692    |0.7143    |0.7407    |28        |0.7143    
COMMON BANDED AWL             |0.7333    |0.8148    |0.7719    |27        |0.8148    
COMMON WOOD-NYMPH             |0.9259    |0.9259    |0.9259    |27        |0.9259    
COPPER TAIL                   |0.7500    |0.7241    |0.7368    |29        |0.7241    
CRECENT                       |1.0000    |0.9000    |0.9474    |30        |0.9000    
CRIMSON PATCH                 |1.0000    |0.9545    |0.9767    |22        |0.9545    
DANAID EGGFLY                 |0.8333    |0.8621    |0.8475    |29        |0.8621    
EASTERN COMA                  |0.7576    |0.8929    |0.8197    |28        |0.8929    
EASTERN DAPPLE WHITE          |0.7000    |0.7500    |0.7241    |28        |0.7500    
EASTERN PINE ELFIN            |0.8286    |1.0000    |0.9062    |29        |1.0000    
ELBOWED PIERROT               |0.9200    |0.9200    |0.9200    |25        |0.9200    
GOLD BANDED                   |1.0000    |0.7273    |0.8421    |22        |0.7273    
GREAT EGGFLY                  |0.7826    |0.7500    |0.7660    |24        |0.7500    
GREAT JAY                     |0.9310    |0.9310    |0.9310    |29        |0.9310    
GREEN CELLED CATTLEHEART      |0.9565    |0.8148    |0.8800    |27        |0.8148    
GREY HAIRSTREAK               |0.8400    |0.8077    |0.8235    |26        |0.8077    
INDRA SWALLOW                 |0.8462    |0.8800    |0.8627    |25        |0.8800    
IPHICLUS SISTER               |0.9643    |0.9310    |0.9474    |29        |0.9310    
JULIA                         |0.9259    |1.0000    |0.9615    |25        |1.0000    
LARGE MARBLE                  |0.8261    |0.7600    |0.7917    |25        |0.7600    
MALACHITE                     |1.0000    |0.9545    |0.9767    |22        |0.9545    
MANGROVE SKIPPER              |0.8621    |0.9259    |0.8929    |27        |0.9259    
MESTRA                        |0.9167    |0.8462    |0.8800    |26        |0.8462    
METALMARK                     |0.8750    |0.9130    |0.8936    |23        |0.9130    
MILBERTS TORTOISESHELL        |0.9355    |1.0000    |0.9667    |29        |1.0000    
MONARCH                       |0.8846    |0.8519    |0.8679    |27        |0.8519    
MOURNING CLOAK                |0.9250    |0.9250    |0.9250    |40        |0.9250    
ORANGE OAKLEAF                |0.9000    |1.0000    |0.9474    |27        |1.0000    
ORANGE TIP                    |0.9333    |0.9655    |0.9492    |29        |0.9655    
ORCHARD SWALLOW               |0.8947    |0.7391    |0.8095    |23        |0.7391    
PAINTED LADY                  |0.9545    |0.8750    |0.9130    |24        |0.8750    
PAPER KITE                    |1.0000    |0.9630    |0.9811    |27        |0.9630    
PEACOCK                       |1.0000    |1.0000    |1.0000    |26        |1.0000    
PINE WHITE                    |0.9565    |0.8462    |0.8980    |26        |0.8462    
PIPEVINE SWALLOW              |0.7812    |0.9615    |0.8621    |26        |0.9615    
POPINJAY                      |1.0000    |0.9231    |0.9600    |26        |0.9231    
PURPLE HAIRSTREAK             |0.6667    |0.6667    |0.6667    |24        |0.6667    
PURPLISH COPPER               |0.7419    |0.8214    |0.7797    |28        |0.8214    
QUESTION MARK                 |0.8000    |0.6667    |0.7273    |24        |0.6667    
RED ADMIRAL                   |0.8800    |0.8800    |0.8800    |25        |0.8800    
RED CRACKER                   |1.0000    |0.9655    |0.9825    |29        |0.9655    
RED POSTMAN                   |1.0000    |0.8889    |0.9412    |27        |0.8889    
RED SPOTTED PURPLE            |0.9259    |0.9615    |0.9434    |26        |0.9615    
